	tf.id	family	gene.name	back.targ	back.ratio	url
21	AT2G45680	TCP		317	0.011462665	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G45680&sub_type=gene
22	AT5G08330	TCP		2557	0.092460676	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G08330&sub_type=gene
23	AT1G53230	TCP	TCP3	1293	0.046754656	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G53230&sub_type=gene
24	AT5G23280	TCP		842	0.030446574	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G23280&sub_type=gene
25	AT3G27010	TCP	"TCP20, PCF1"	908	0.032833122	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G27010&sub_type=gene
26	AT1G30210	TCP	TCP24	3053	0.11039595	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G30210&sub_type=gene
27	AT2G40620	bZIP	bZIP18	8196	0.296365937	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G40620&sub_type=gene
28	AT1G76880	Trihelix		472	0.017067438	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G76880&sub_type=gene
29	AT1G49480	REM	"REM19, RTV1"	15124	0.546881215	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G49480&sub_type=gene
30	AT4G24020	NLP	NLP7	829	0.029976496	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G24020&sub_type=gene
31	AT1G74480	AtRKD	RKD2	7686	0.277924426	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G74480&sub_type=gene
32	AT3G09735			6577	0.237823178	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G09735&sub_type=gene
33	AT2G47070	SBP	SPL1	7015	0.253661182	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G47070&sub_type=gene
34	AT5G50670	SBP	SPL13B	1061	0.038365576	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G50670&sub_type=gene
35	AT1G20980	SBP	"SPL14, FBR6, SPL1R2"	2263	0.081829687	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G20980&sub_type=gene
36	AT3G57920	SBP	SPL15	13630	0.492858434	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G57920&sub_type=gene
37	AT5G66300	NAC	"ANAC105, VND3"	3403	0.123051889	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G66300&sub_type=gene
38	AT1G12260	NAC	"ANAC007, EMB2749, VND4"	8416	0.304321099	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G12260&sub_type=gene
39	AT5G62380	NAC	"ANAC101, VND6"	9419	0.340589405	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G62380&sub_type=gene
40	AT4G38170		FRS9	6164	0.22288917	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G38170&sub_type=gene
41	AT3G10800	bZIP	BZIP28	1469	0.053118785	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10800&sub_type=gene
42	AT1G24250	PAH2		2109	0.076261074	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G24250&sub_type=gene
43	AT3G21890	C2C2-CO-like		11208	0.405279335	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G21890&sub_type=gene
44	AT1G13260	RAV	RAV1	9335	0.33755198	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G13260&sub_type=gene
45	AT4G01550	NAC	"ANAC069, NTL13, NTM2"	4298	0.155414934	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G01550&sub_type=gene
46	AT1G79580	NAC	"ANAC033, SMB"	15995	0.578376424	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G79580&sub_type=gene
47	AT4G28500	NAC	"ANAC073, SND2"	15520	0.561200506	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G28500&sub_type=gene
48	AT1G28470	NAC	"ANAC010, SND3"	16845	0.609112276	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G28470&sub_type=gene
49	AT1G75390	bZIP	bZIP44	2485	0.089857169	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G75390&sub_type=gene
50	AT2G18060	NAC	"ANAC037, VND1"	5730	0.207195805	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G18060&sub_type=gene
51	AT4G36160	NAC	"ANAC076, VND2"	10533	0.380871452	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G36160&sub_type=gene
52	AT1G19040	NAC		948	0.034279515	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G19040&sub_type=gene
53	AT1G01720	NAC	"ANAC002, ATAF1"	7615	0.275357078	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G01720&sub_type=gene
54	AT3G15170	NAC	"anac054, NAC1, CUC1"	2763	0.0999096	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G15170&sub_type=gene
55	AT5G53950	NAC	"ANAC098, CUC2"	3383	0.122328693	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G53950&sub_type=gene
56	AT2G04038	bZIP	bZIP48	3512	0.12699331	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G04038&sub_type=gene
57	AT1G76420	NAC	"ANAC031, CUC3, NAC368"	5263	0.190309167	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G76420&sub_type=gene
58	AT5G04410	NAC	"ANAC078, NAC2"	10001	0.361634424	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G04410&sub_type=gene
59	AT1G52880	NAC	"ANAC018, NAM, NARS2"	4760	0.172120774	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G52880&sub_type=gene
60	AT1G69490	NAC	"ANAC029, NAP"	4202	0.151943591	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G69490&sub_type=gene
61	AT2G46770	NAC	"ANAC043, EMB2301, NST1"	10561	0.381883927	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G46770&sub_type=gene
62	AT2G27300	NAC	"ANAC040, NTL8"	4907	0.177436268	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G27300&sub_type=gene
63	AT4G01540	NAC	NTM1	11379	0.411462665	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G01540&sub_type=gene
64	AT3G18400	NAC	ANAC058	10209	0.369155668	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G18400&sub_type=gene
65	AT3G49530	NAC	ANAC062	5243	0.18958597	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G49530&sub_type=gene
66	AT4G10350	NAC	ANAC070	10772	0.38951365	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G10350&sub_type=gene
67	AT4G17980	NAC	ANAC071	11524	0.41670584	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G17980&sub_type=gene
68	AT4G29230	NAC	ANAC075	3776	0.136539505	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G29230&sub_type=gene
69	AT1G77920	bZIP	bZIP50	13618	0.492424516	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G77920&sub_type=gene
70	AT5G07680	NAC	"ANAC079, ANAC080, NAC4"	2581	0.093328512	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G07680&sub_type=gene
71	AT5G13180	NAC	ANAC083	9759	0.352883746	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G13180&sub_type=gene
72	AT5G18270	NAC	ANAC087	4785	0.173024769	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G18270&sub_type=gene
73	AT5G39610	NAC	"ANAC092, NAC2, NAC6"	6387	0.230952811	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G39610&sub_type=gene
74	AT5G39820	NAC	ANAC094	705	0.025492678	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G39820&sub_type=gene
75	AT5G46590	NAC	ANAC096	8428	0.304755017	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G46590&sub_type=gene
76	AT3G12250	bZIP	"bZIP45, TGA6"	12753	0.461146266	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G12250&sub_type=gene
77	AT5G64060	NAC	ANAC103	4624	0.167203037	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G64060&sub_type=gene
78	AT1G54330	NAC	ANAC020	6180	0.223467727	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G54330&sub_type=gene
79	AT1G65910	NAC	ANAC028	6318	0.228457783	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G65910&sub_type=gene
80	AT2G02450	NAC	"ANAC034, ANAC035, LOV1"	5156	0.186440065	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G02450&sub_type=gene
81	AT2G24430	NAC	"ANAC038, ANAC039"	5259	0.190164527	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G24430&sub_type=gene
82	AT2G43000	NAC	ANAC042	4985	0.180256735	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G43000&sub_type=gene
83	AT3G03200	NAC	ANAC045	9183	0.332055686	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G03200&sub_type=gene
84	AT3G04060	NAC	ANAC046	10054	0.363550895	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G04060&sub_type=gene
85	AT1G08320	bZIP	"bZIP21, "	11043	0.399312963	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G08320&sub_type=gene
86	AT3G04070	NAC	ANAC047	6448	0.233158561	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G04070&sub_type=gene
87	AT3G10480	NAC	ANAC050	8396	0.303597903	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10480&sub_type=gene
88	AT3G10500	NAC	ANAC053	5926	0.214283131	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10500&sub_type=gene
89	AT3G15500	NAC	"ANAC055, NAC3"	6370	0.230338094	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G15500&sub_type=gene
90	AT3G17730	NAC	ANAC057	4565	0.165069608	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G17730&sub_type=gene
91	AT5G02840		"RVE4, LCL1"	4715	0.170493582	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G02840&sub_type=gene
92	AT1G01060	MYB	LHY	13356	0.482950642	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G01060&sub_type=gene
93	AT5G17300	MYB	RVE1	17097	0.618224553	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G17300&sub_type=gene
94	AT5G67580		"TRB2, TBP3"	5446	0.196926415	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G67580&sub_type=gene
95	AT5G59430		TRP1	563	0.020357982	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G59430&sub_type=gene
96	AT3G46590		"TRFL1, TRP2"	1512	0.054673658	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G46590&sub_type=gene
97	AT1G02230	NAC	ANAC004	7245	0.261977943	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G02230&sub_type=gene
98	AT1G43700	bZIP	"bZIP51, VIP1"	1443	0.05217863	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G43700&sub_type=gene
99	AT1G02250	NAC	ANAC005	6448	0.233158561	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G02250&sub_type=gene
100	AT1G32870	NAC	ANAC013	4626	0.167275357	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G32870&sub_type=gene
101	AT1G34180	NAC	ANAC016	10965	0.396492497	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G34180&sub_type=gene
102	AT1G34190	NAC	ANAC017	9530	0.344603146	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G34190&sub_type=gene
103	AT3G09600	MYB		13384	0.483963117	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G09600&sub_type=gene
104	AT3G11280			1813	0.065557765	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G11280&sub_type=gene
105	AT4G01280	MYB	RVE5	11909	0.430627373	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G01280&sub_type=gene
106	AT2G18160	bZIP	"bZIP2, GBF5"	3807	0.137660459	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G18160&sub_type=gene
107	AT5G05790	Homeodomain-like		3277	0.118495751	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G05790&sub_type=gene
108	AT5G08520	Homeodomain-like		7535	0.272464292	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G08520&sub_type=gene
109	AT5G47390		"MYBH, KUODA1"	12035	0.435183511	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G47390&sub_type=gene
110	AT5G52660		RVE6	11443	0.413776894	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G52660&sub_type=gene
111	AT5G58900	MYB	DIV1	13331	0.482046646	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G58900&sub_type=gene
112	AT1G18330		EPR1	18086	0.653986621	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G18330&sub_type=gene
113	AT4G34590	bZIP	"bZIP11, B2, GBF6"	7781	0.281359609	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G34590&sub_type=gene
114	AT1G19000	Homeodomain-like		13311	0.48132345	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G19000&sub_type=gene
115	AT1G49010	Homeodomain-like	MYBS1	13810	0.499367203	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G49010&sub_type=gene
116	AT1G74840	Homeodomain-like		7603	0.27492316	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G74840&sub_type=gene
117	AT3G10113	Homeodomain-like		15664	0.566407521	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10113&sub_type=gene
118	AT3G10580	Homeodomain-like		4627	0.167311517	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10580&sub_type=gene
119	AT5G56840	MYB		14824	0.536033267	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G56840&sub_type=gene
120	AT5G11260	bZIP	"HY5, TED5"	8124	0.29376243	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G11260&sub_type=gene
121	AT5G61620	MYB		10442	0.377580908	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G61620&sub_type=gene
122	AT3G08500	MYB	MYB83	11065	0.400108479	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G08500&sub_type=gene
123	AT2G02820	MYB	MYB88	9266	0.335056952	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G02820&sub_type=gene
124	AT1G34670	MYB	MYB93	4859	0.175700597	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G34670&sub_type=gene
125	AT5G62470	MYB	"MYB96, MYBCOV1"	1107	0.040028928	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G62470&sub_type=gene
126	AT4G18770	MYB	MYB98	4587	0.165865124	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G18770&sub_type=gene
127	AT5G62320	MYB	"MYB99, MYBCU15"	3665	0.132525764	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G62320&sub_type=gene
128	AT5G65210	bZIP	"bZIP47, TGA1"	7098	0.256662448	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G65210&sub_type=gene
129	AT1G72740	SMH		12911	0.466859519	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G72740&sub_type=gene
130	AT1G09540	MYB	MYB61	11242	0.406508769	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G09540&sub_type=gene
131	AT1G68320	MYB	"MYB62, BW62B, BW62C"	9924	0.358850118	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G68320&sub_type=gene
132	AT1G79180	MYB	MYB63	2353	0.085084072	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G79180&sub_type=gene
133	AT3G11440	MYB	MYB65	8251	0.298354728	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G11440&sub_type=gene
134	AT3G12720	MYB	"MYB67, ATY53"	13671	0.494340987	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G12720&sub_type=gene
135	AT2G23290	MYB	MYB70	8427	0.304718857	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G23290&sub_type=gene
136	AT4G37260	MYB	MYB73	7185	0.259808353	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G37260&sub_type=gene
137	AT4G05100	MYB	MYB74	2835	0.102513108	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G05100&sub_type=gene
138	AT3G50060	MYB	MYB77	16474	0.595696981	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G50060&sub_type=gene
139	AT2G26960	MYB	MYB81	2864	0.103561743	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G26960&sub_type=gene
140	AT5G11510	MYB	MYB3R4	1732	0.062628819	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G11510&sub_type=gene
141	AT5G02320	MYB	MYB3R5	2334	0.084397035	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G02320&sub_type=gene
142	AT5G67300	MYB	"MYB44, MYBR1"	11038	0.399132164	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G67300&sub_type=gene
143	AT5G54230	MYB	MYB49	6540	0.236485265	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G54230&sub_type=gene
144	AT4G01680	MYB	MYB55	8273	0.299150244	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G01680&sub_type=gene
145	AT5G17800	MYB	MYB56	4241	0.153353824	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G17800&sub_type=gene
146	AT5G06950	bZIP	"AHBP-1B, TGA2"	10780	0.389802929	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G06950&sub_type=gene
147	AT3G01530	MYB	MYB57	9730	0.351835111	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G01530&sub_type=gene
148	AT1G16490	MYB	MYB58	12389	0.44798409	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G16490&sub_type=gene
149	AT5G56110	MYB	"MYB80, MYB103, MS188"	9796	0.35422166	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G56110&sub_type=gene
150	AT4G32730	MYB	"MYB3R1, PC-MYB1"	11026	0.398698246	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G32730&sub_type=gene
151	AT1G06180	MYB	"MYB13, MYBLFGN"	2422	0.0875791	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G06180&sub_type=gene
152	AT3G53200	MYB	MYB27	4828	0.174579642	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G53200&sub_type=gene
153	AT1G06850	bZIP	bZIP52	8914	0.322328693	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G06850&sub_type=gene
154	AT5G06100	MYB	MYB33	14118	0.51050443	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G06100&sub_type=gene
155	AT2G32460	MYB	"MYB101, ATM1"	8202	0.296582896	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G32460&sub_type=gene
156	AT3G02940	MYB	MYB107	7559	0.273332128	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G02940&sub_type=gene
157	AT1G25340	MYB	MYB116	7574	0.273874525	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G25340&sub_type=gene
158	AT3G27785	MYB	MYB118	3699	0.133755198	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G27785&sub_type=gene
159	AT5G58850	MYB	MYB119	7641	0.276297234	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G58850&sub_type=gene
160	AT1G22070	bZIP	"bZIP22, TGA3"	3067	0.110902188	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G22070&sub_type=gene
161	AT3G30210	MYB	MYB121	1853	0.067004158	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G30210&sub_type=gene
162	AT4G04890	Homeobox	PDF2	1978	0.071524137	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT4G04890&sub_type=gene
163	AT2G42430	LOB	LBD16	4846	0.175230519	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G42430&sub_type=gene
164	AT1G06280	LOB	LBD2	13633	0.492966914	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G06280&sub_type=gene
165	AT2G30340	LOB	LOB13	3210	0.116073043	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G30340&sub_type=gene
166	AT2G45420	LOB	LBD18	10834	0.39175556	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G45420&sub_type=gene
167	AT2G45410	LOB	LBD19	11954	0.432254565	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G45410&sub_type=gene
168	AT5G10030	bZIP	"bZIP57, OBF4, TGA4"	6110	0.22093654	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G10030&sub_type=gene
169	AT3G26620	LOB	LBD23	1361	0.049213524	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G26620&sub_type=gene
170	AT5G63090	LOB	LOB	1184	0.042813234	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G63090&sub_type=gene
171	AT5G13790	MADS	AGL15	2032	0.073476767	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G13790&sub_type=gene
172	AT1G31140	MADS	"AGL63, GOA"	11483	0.415223287	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G31140&sub_type=gene
173	AT2G22540	MADS	"AGL22, SVP"	12117	0.438148617	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G22540&sub_type=gene
174	AT1G74650	MYB	"MYB31, ATY13"	13683	0.494774905	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G74650&sub_type=gene
175	AT3G06490	MYB	"MYB108, BOS1"	1909	0.069029109	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G06490&sub_type=gene
176	AT5G47370	Homeobox	HAT2	8255	0.298499367	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G47370&sub_type=gene
177	AT2G22430	Homeobox	HB6	7960	0.287832218	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G22430&sub_type=gene
178	AT2G46680	Homeobox	HB7	8422	0.304538058	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G46680&sub_type=gene
179	AT1G69780	Homeobox	HB13	13486	0.487651419	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G69780&sub_type=gene
180	AT1G70920	Homeobox	HB18	3786	0.136901103	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G70920&sub_type=gene
