tf.id,family,gene.name,genome.count,genome.ratio
AT1G12630,AP2-EREBP,,8711,0.314988248
AT1G19210,AP2-EREBP,ERF017,11787,0.426215874
AT1G22810,AP2-EREBP,ERF019,4755,0.171939975
AT1G28160,AP2-EREBP,,6804,0.246031459
AT1G36060,AP2-EREBP,"TG, WIND3",3127,0.113071777
AT1G44830,AP2-EREBP,ERF014,1398,0.050551437
AT1G68550,AP2-EREBP,CRF10,4691,0.169625746
AT1G71450,AP2-EREBP,FUF1,9574,0.346194178
AT1G77200,AP2-EREBP,,14558,0.526414753
AT2G23340,AP2-EREBP,DEAR3,8044,0.290869644
AT2G33710,AP2-EREBP,,10138,0.36658832
AT2G38340,AP2-EREBP,DREB19,9163,0.33133249
AT2G44940,AP2-EREBP,ERF34,4550,0.16452721
AT3G16280,AP2-EREBP,ERF036,10192,0.368540951
AT3G23220,AP2-EREBP,"ESE1, ERF95",1346,0.048671126
AT3G60490,AP2-EREBP,ERF35,7329,0.265015368
AT4G16750,AP2-EREBP,ERF39,10971,0.396709456
AT4G18450,AP2-EREBP,,537,0.019417827
AT4G31060,AP2-EREBP,,4807,0.173820286
AT4G32800,AP2-EREBP,ERF043,3207,0.115964563
AT5G07310,AP2-EREBP,ERF115,7795,0.281865847
AT5G18450,AP2-EREBP,,2095,0.075754836
AT5G25190,AP2-EREBP,ESE3,5021,0.181558489
AT5G51190,AP2-EREBP,ERF105,9145,0.330681613
AT5G60130,AP2-EREBP,,12890,0.466100163
AT5G65130,AP2-EREBP,WIND4,1742,0.062990418
AT5G67190,AP2-EREBP,DEAR2,13413,0.485011752
AT5G62000,ARF,"ARF1-BP, ARF2, HSS",9252,0.334550714
AT1G19850,ARF,"ARF5, IAA24,  MP",16725,0.604773097
AT1G20910,ARID,ARID3,6556,0.237063822
AT2G01930,BBR/BPC,"BPC1, BBR",11999,0.433881757
AT2G31220,bHLH,bHLH10,6890,0.249141204
AT1G69010,bHLH,"bHLH102, BIM2",16234,0.587018622
AT1G51140,bHLH,bHLH122,7995,0.289097812
AT5G46830,bHLH,bHLH28,7057,0.255179895
AT1G59640,bHLH,"bHLH31, BPE, BPEP, BPEUB, ZCW32",1651,0.059699873
AT5G08130,bHLH,"bHLH46, BIM1",615,0.022238293
AT1G35460,bHLH,bHLH80,4976,0.179931296
AT1G45249,bZIP,"ABF2, AREB1",2112,0.076369553
AT5G06950,bZIP,"AHBP-1B, TGA2",10780,0.389802929
AT4G34590,bZIP,"bZIP11, B2, GBF6",7781,0.281359609
AT2G35530,bZIP,bZIP16,5609,0.202820466
AT2G40620,bZIP,bZIP18,8196,0.296365937
AT2G18160,bZIP,"bZIP2, GBF5",3807,0.137660459
AT1G08320,bZIP,bZIP21,11043,0.399312963
AT1G22070,bZIP,"bZIP22, TGA3",3067,0.110902188
AT5G06960,bZIP,"bZIP26, OBF5, TGA5",2308,0.083456879
AT3G10800,bZIP,BZIP28,1469,0.053118785
AT5G15830,bZIP,bZIP3,6440,0.232869282
AT2G36270,bZIP,"bZIP39, ABI5, GIA1",4496,0.16257458
AT1G75390,bZIP,bZIP44,2485,0.089857169
AT3G12250,bZIP,"bZIP45, TGA6",12753,0.461146266
AT5G65210,bZIP,"bZIP47, TGA1",7098,0.256662448
AT2G04038,bZIP,bZIP48,3512,0.12699331
AT1G77920,bZIP,bZIP50,13618,0.492424516
AT1G43700,bZIP,"bZIP51, VIP1",1443,0.05217863
AT1G06850,bZIP,bZIP52,8914,0.322328693
AT3G62420,bZIP,bZIP53,8374,0.302802387
AT2G46270,bZIP,"bZIP55, GBF3",8715,0.315132887
AT5G10030,bZIP,"bZIP57, OBF4, TGA4",6110,0.22093654
AT3G56850,bZIP,"bZIP66, AREB3, DPBF3",3936,0.142325077
AT1G32150,bZIP,bZIP68,6979,0.252359429
AT5G11260,bZIP,"HY5, TED5",8124,0.29376243
AT5G06839,bZIP,"TGA10, bZIP65",4299,0.155451094
AT5G45300,BZR,"BMY2, BAM8",2622,0.094811065
AT1G75080,BZR,BZR1,960,0.034713433
AT1G78700,BZR,BEH4,4366,0.157873802
AT4G18890,BZR,BEH3,787,0.028457783
AT4G36780,BZR,BEH2,4944,0.178774182
AT3G21890,C2C2-CO-like,BBX31,11208,0.405279335
AT1G51700,C2C2-Dof,ADOF1,9240,0.334116796
AT3G47500,C2C2-Dof,CDF3,10960,0.396311698
AT1G29160,C2C2-Dof,COG1,8733,0.315783764
AT2G46590,C2C2-Dof,DAG2,12280,0.444042669
AT3G50410,C2C2-Dof,OBP1,14784,0.534586874
AT3G55370,C2C2-Dof,OBP3,12069,0.436412945
AT5G60850,C2C2-Dof,OBP4,13802,0.499077924
AT1G47655,C2C2-Dof,,6480,0.234315675
AT1G64620,C2C2-Dof,DOF1.8,15125,0.546917375
AT1G69570,C2C2-Dof,CDF5,7235,0.261616344
AT2G28810,C2C2-Dof,,17774,0.642704755
AT2G37590,C2C2-Dof,DOF2.4,13445,0.486168866
AT3G45610,C2C2-Dof,DOF6,14781,0.534478395
AT3G52440,C2C2-Dof,,15349,0.555017176
AT4G21030,C2C2-Dof,DOF4.2,731,0.026432833
AT4G21040,C2C2-Dof,DOF4.3,13144,0.475284759
AT4G21080,C2C2-Dof,DOF4.5,14693,0.53129633
AT4G38000,C2C2-Dof,DOF4.7,7175,0.259446755
AT5G02460,C2C2-Dof,PEAR2,17923,0.648092569
AT5G62940,C2C2-Dof,"HCA2, DOF5.6",16515,0.597179534
AT5G66940,C2C2-Dof,DOF5.8,15781,0.570638221
AT3G24050,C2C2-Gata,GATA-1,934,0.033773278
AT1G08010,C2C2-Gata,GATA-11,2746,0.099294883
AT4G36620,C2C2-Gata,GATA-19,199,0.007195805
AT2G18380,C2C2-Gata,GATA-20,12550,0.453805822
AT3G60530,C2C2-Gata,GATA-4,1361,0.049213524
AT1G69180,C2C2-YABBY,CRC,7396,0.267438076
AT3G13810,C2H2,IDD11,2987,0.108009402
AT2G01940,C2H2,"IDD15, SGR5",12170,0.440065088
AT2G02080,C2H2,IDD4,9357,0.338347496
AT2G02070,C2H2,IDD5,7490,0.2708371
AT1G55110,C2H2,IDD7,4200,0.151871271
AT5G03150,C2H2,JKD,1965,0.071054059
AT1G03840,C2H2,MGP,3424,0.123811246
AT1G19790,C2H2,SRS7,8734,0.315819924
AT1G34370,C2H2,STOP1,1279,0.046248418
AT1G27730,C2H2,"STZ, ZAT10",14675,0.530645453
AT1G51220,C2H2,WIP5,5129,0.18546375
AT2G15740,C2H2,GAL1,2781,0.100560477
AT3G60580,C2H2,ZAT9,8842,0.319725185
AT4G26030,C2H2,,8528,0.308371
AT5G04390,C2H2,,7462,0.269824625
AT5G22990,C2H2,GAL3,4337,0.156825167
AT5G66730,C2H2,IDD1,5126,0.18535527
AT1G68200,C3H,"CDM1, C3H15",4363,0.157765323
AT5G08750,C3H,,872,0.031531369
AT5G09410,CAMTA,"CAMTA1, EICBP.B",2295,0.082986802
AT4G16150,CAMTA,CAMTA5,673,0.024335563
AT3G22760,CPP,SOL1,10699,0.386873983
AT4G14770,CPP,TCX2,11284,0.408027481
AT2G20110,CPP,,13568,0.490616525
AT5G14960,E2F-DP,"DEL2, E2FD, E2L1",979,0.03540047
AT2G36010,E2F-DP,"E2FA, E2F3",4911,0.177580908
AT3G20770,EIL,EIN3,1118,0.040426686
AT1G25550,G2-like,"HHO3, NIGT1.1",8465,0.306092931
AT1G49560,G2-like,HHO6,9713,0.351220394
AT1G68670,G2-like,"HHO2, NIGT1.2",7431,0.26870367
AT2G01060,G2-like,,11695,0.42288917
AT2G03500,G2-like,"EFM, HHO4",9700,0.350750316
AT2G20400,G2-like,PHL4,5286,0.191140843
AT2G40260,G2-like,,11638,0.42082806
AT3G04030,G2-like,MYR2,12117,0.438148617
AT3G12730,G2-like,,8585,0.31043211
AT3G24120,G2-like,PHL2,19976,0.722328693
AT4G37180,G2-like,"UIF1, HHO5",10041,0.363080817
AT5G29000,G2-like,PHL1,4077,0.147423612
AT5G45580,G2-like,,16996,0.61457241
AT2G06200,GRF,GRF6,5295,0.191466281
AT2G45480,GRF,GRF9,2179,0.078792262
AT4G00730,Homeobox,"AHDP, ANL2",5649,0.20426686
AT5G47370,Homeobox,HAT2,8255,0.298499367
AT1G69780,Homeobox,HB13,13486,0.487651419
AT1G52150,Homeobox,"HB15, CNA, ICU4",5388,0.194829145
AT1G70920,Homeobox,HB18,3786,0.136901103
AT3G01220,Homeobox,HB20,4950,0.178991141
AT2G18550,Homeobox,"HB21, HB-2",10741,0.388392696
AT4G36740,Homeobox,"HB40, HB-5",16518,0.597288013
AT5G65310,Homeobox,"HB5, HB-5",17060,0.616886639
AT5G03790,Homeobox,"HB51, LMI1",14882,0.538130537
AT5G66700,Homeobox,"HB53, HB-8",9750,0.352558308
AT2G22430,Homeobox,HB6,7960,0.287832218
AT2G46680,Homeobox,HB7,8422,0.304538058
AT1G30490,Homeobox,"HB9, PHV",7375,0.26667872
AT3G61150,Homeobox,"HD-GL2-1, HDG1",8282,0.299475683
AT4G04890,Homeobox,PDF2,1978,0.071524137
AT2G33550,Homeodomain-like,ASR3,7131,0.257855722
AT1G49010,Homeodomain-like,MYBS1,13810,0.499367203
AT1G19000,Homeodomain-like,,13311,0.48132345
AT1G74840,Homeodomain-like,,7603,0.27492316
AT3G10113,Homeodomain-like,,15664,0.566407521
AT3G10580,Homeodomain-like,,4627,0.167311517
AT5G05790,Homeodomain-like,,3277,0.118495751
AT5G08520,Homeodomain-like,MYBS2,7535,0.272464292
AT5G16820,HSF,"HSFA1B, HSF3",10492,0.379388899
AT4G18880,HSF,"HSFA4A, HSF21",717,0.025926596
AT3G22830,HSF,HSFA6B,16790,0.607123486
AT5G62020,HSF,"HSFB2A, HSF6",1103,0.039884289
AT4G11660,HSF,"HSFB2B, HSF7",3274,0.118387272
AT2G41690,HSF,HSFB3,1104,0.039920448
AT3G24520,HSF,HSFC1,6025,0.217862954
AT2G42430,LOB,LBD16,4846,0.175230519
AT2G45420,LOB,LBD18,10834,0.39175556
AT2G45410,LOB,LBD19,11954,0.432254565
AT1G06280,LOB,LBD2,13633,0.492966914
AT3G26620,LOB,LBD23,1361,0.049213524
AT5G63090,LOB,LOB,1184,0.042813234
AT2G30340,LOB,LOB13,3210,0.116073043
AT5G13790,MADS,AGL15,2032,0.073476767
AT2G22540,MADS,"AGL22, SVP",12117,0.438148617
AT1G31140,MADS,"AGL63, GOA",11483,0.415223287
AT5G58900,MYB,DIV1,13331,0.482046646
AT1G01060,MYB,LHY,13356,0.482950642
AT2G32460,MYB,"ABS7, ATM1, MYB101",8202,0.296582896
AT3G02940,MYB,MYB107,7559,0.273332128
AT3G06490,MYB,"MYB108, BOS1",1909,0.069029109
AT1G25340,MYB,MYB116,7574,0.273874525
AT3G27785,MYB,MYB118,3699,0.133755198
AT5G58850,MYB,MYB119,7641,0.276297234
AT3G30210,MYB,MYB121,1853,0.067004158
AT1G06180,MYB,"MYB13, MYBLFGN",2422,0.0875791
AT3G53200,MYB,MYB27,4828,0.174579642
AT1G74650,MYB,"MYB31, ATY13",13683,0.494774905
AT5G06100,MYB,MYB33,14118,0.51050443
AT4G32730,MYB,"MYB3R1, PC-MYB1",11026,0.398698246
AT5G11510,MYB,MYB3R4,1732,0.062628819
AT5G02320,MYB,MYB3R5,2334,0.084397035
AT5G67300,MYB,"MYB44, MYBR1",11038,0.399132164
AT5G54230,MYB,MYB49,6540,0.236485265
AT4G01680,MYB,MYB55,8273,0.299150244
AT5G17800,MYB,MYB56,4241,0.153353824
AT3G01530,MYB,MYB57,9730,0.351835111
AT1G16490,MYB,MYB58,12389,0.44798409
AT1G09540,MYB,MYB61,11242,0.406508769
AT1G68320,MYB,"MYB62, BW62B, BW62C",9924,0.358850118
AT1G79180,MYB,MYB63,2353,0.085084072
AT3G11440,MYB,MYB65,8251,0.298354728
AT3G12720,MYB,"MYB67, ATY53",13671,0.494340987
AT2G23290,MYB,MYB70,8427,0.304718857
AT4G37260,MYB,MYB73,7185,0.259808353
AT4G05100,MYB,MYB74,2835,0.102513108
AT3G50060,MYB,MYB77,16474,0.595696981
AT5G56110,MYB,"MYB80, MYB103, MS188",9796,0.35422166
AT2G26960,MYB,MYB81,2864,0.103561743
AT3G08500,MYB,MYB83,11065,0.400108479
AT2G02820,MYB,MYB88,9266,0.335056952
AT1G34670,MYB,MYB93,4859,0.175700597
AT5G62470,MYB,"MYB96, MYBCOV1",1107,0.040028928
AT4G18770,MYB,MYB98,4587,0.165865124
AT5G62320,MYB,"MYB99, MYBCU15",3665,0.132525764
AT5G17300,MYB,RVE1,17097,0.618224553
AT4G01280,MYB,RVE5,11909,0.430627373
AT3G09600,MYB,"RVE8, LCL5",13384,0.483963117
AT5G56840,MYB,,14824,0.536033267
AT5G61620,MYB,,10442,0.377580908
AT1G01720,NAC,"ANAC002, ATAF1",7615,0.275357078
AT1G02230,NAC,ANAC004,7245,0.261977943
AT1G02250,NAC,ANAC005,6448,0.233158561
AT1G12260,NAC,"ANAC007, EMB2749, VND4",8416,0.304321099
AT1G28470,NAC,"ANAC010, SND3",16845,0.609112276
AT1G32870,NAC,ANAC013,4626,0.167275357
AT1G34180,NAC,ANAC016,10965,0.396492497
AT1G34190,NAC,ANAC017,9530,0.344603146
AT1G52880,NAC,"ANAC018, NAM, NARS2",4760,0.172120774
AT1G54330,NAC,ANAC020,6180,0.223467727
AT1G65910,NAC,ANAC028,6318,0.228457783
AT1G69490,NAC,"ANAC029, NAP",4202,0.151943591
AT1G76420,NAC,"ANAC031, CUC3, NAC368",5263,0.190309167
AT1G79580,NAC,"ANAC033, SMB",15995,0.578376424
AT2G02450,NAC,"ANAC034, ANAC035, LOV1",5156,0.186440065
AT2G18060,NAC,"ANAC037, VND1",5730,0.207195805
AT2G24430,NAC,"ANAC038, ANAC039",5259,0.190164527
AT2G27300,NAC,"ANAC040, NTL8",4907,0.177436268
AT2G43000,NAC,ANAC042,4985,0.180256735
AT2G46770,NAC,"ANAC043, EMB2301, NST1",10561,0.381883927
AT3G03200,NAC,ANAC045,9183,0.332055686
AT3G04060,NAC,ANAC046,10054,0.363550895
AT3G04070,NAC,ANAC047,6448,0.233158561
AT3G10480,NAC,ANAC050,8396,0.303597903
AT3G10500,NAC,ANAC053,5926,0.214283131
AT3G15170,NAC,"anac054, NAC1, CUC1",2763,0.0999096
AT3G15500,NAC,"ANAC055, NAC3",6370,0.230338094
AT3G17730,NAC,ANAC057,4565,0.165069608
AT3G18400,NAC,ANAC058,10209,0.369155668
AT3G49530,NAC,ANAC062,5243,0.18958597
AT4G01550,NAC,"ANAC069, NTL13, NTM2",4298,0.155414934
AT4G10350,NAC,ANAC070,10772,0.38951365
AT4G17980,NAC,ANAC071,11524,0.41670584
AT4G28500,NAC,"ANAC073, SND2",15520,0.561200506
AT4G29230,NAC,ANAC075,3776,0.136539505
AT4G36160,NAC,"ANAC076, VND2",10533,0.380871452
AT5G04410,NAC,"ANAC078, NAC2",10001,0.361634424
AT5G07680,NAC,"ANAC079, ANAC080, NAC4",2581,0.093328512
AT5G13180,NAC,ANAC083,9759,0.352883746
AT5G18270,NAC,ANAC087,4785,0.173024769
AT5G39610,NAC,"ANAC092, NAC2, NAC6",6387,0.230952811
AT5G39820,NAC,ANAC094,705,0.025492678
AT5G46590,NAC,ANAC096,8428,0.304755017
AT5G53950,NAC,"ANAC098, CUC2",3383,0.122328693
AT5G62380,NAC,"ANAC101, VND6",9419,0.340589405
AT5G64060,NAC,ANAC103,4624,0.167203037
AT5G66300,NAC,"ANAC105, VND3",3403,0.123051889
AT4G01540,NAC,NTM1,11379,0.411462665
AT1G19040,NAC,,948,0.034279515
AT4G24020,NLP,NLP7,829,0.029976496
AT1G24250,PAH2,,2109,0.076261074
AT4G01500,RAV,NGA4,2043,0.073874525
AT1G13260,RAV,RAV1,9335,0.33755198
AT1G49480,REM,"REM19, RTV1",15124,0.546881215
AT2G47070,SBP,SPL1,7015,0.253661182
AT5G50670,SBP,SPL13B,1061,0.038365576
AT1G20980,SBP,"SPL14, FBR6, SPL1R2",2263,0.081829687
AT3G57920,SBP,SPL15,13630,0.492858434
AT3G15270,SBP,SPL5,14608,0.528222745
AT2G42200,SBP,SPL9,16031,0.579678178
AT1G72740,SMH,,12911,0.466859519
AT3G27010,TCP,"TCP20, PCF1",908,0.032833122
AT1G30210,TCP,TCP24,3053,0.11039595
AT1G53230,TCP,TCP3,1293,0.046754656
AT1G69690,TCP,TCP15,921,0.0333032
AT1G72010,TCP,TCP22,2427,0.087759899
AT2G45680,TCP,TCP9,317,0.011462665
AT5G08330,TCP,TCP21,2557,0.092460676
AT5G23280,TCP,TCP7,842,0.030446574
AT1G13450,Trihelix,GT-1,418,0.015114807
AT1G76890,Trihelix,GT2,8416,0.304321099
AT5G01380,Trihelix,GT-3a,1235,0.044657386
AT1G33240,Trihelix,GTL1,14090,0.509491954
AT1G76880,Trihelix,DF1,472,0.017067438
AT3G14180,Trihelix,ASIL2,4937,0.178521063
AT3G25990,Trihelix,,2262,0.081793527
AT5G47660,Trihelix,,9003,0.325546917
AT1G30650,WRKY,"WRKY14, AR411",7241,0.261833303
AT2G23320,WRKY,WRKY15,14915,0.539323811
AT4G31800,WRKY,WRKY18,14136,0.511155306
AT4G26640,WRKY,WRKY20,2017,0.07293437
AT2G30590,WRKY,WRKY21,1370,0.049538962
AT4G01250,WRKY,WRKY22,15204,0.549774001
AT5G41570,WRKY,WRKY24,10009,0.361923703
AT2G30250,WRKY,WRKY25,11329,0.409654674
AT5G52830,WRKY,WRKY27,13734,0.496619056
AT4G18170,WRKY,WRKY28,9623,0.34796601
AT4G23550,WRKY,WRKY29,12033,0.435111191
AT2G03340,WRKY,WRKY3,1216,0.043970349
AT5G24110,WRKY,WRKY30,3839,0.138817574
AT4G22070,WRKY,WRKY31,3122,0.112890978
AT2G38470,WRKY,WRKY33,4471,0.161670584
AT1G80840,WRKY,WRKY40,6131,0.221695896
AT3G01970,WRKY,WRKY45,7921,0.286421985
AT5G26170,WRKY,WRKY50,10181,0.368143193
AT2G40740,WRKY,WRKY55,7217,0.260965467
AT1G62300,WRKY,WRKY6,4646,0.167998554
AT1G29280,WRKY,WRKY65,10214,0.369336467
AT4G24240,WRKY,WRKY7,1772,0.064075212
AT3G56400,WRKY,WRKY70,6714,0.242777075
AT1G29860,WRKY,WRKY71,7206,0.260567709
AT5G13080,WRKY,WRKY75,14151,0.511697704
AT5G46350,WRKY,WRKY8,14033,0.507430844
AT5G39760,ZF-HD,HB23,15422,0.557656843
AT2G18350,ZF-HD,HB24,10423,0.376893871
AT5G65410,ZF-HD,"HB25, ZFHD2",15259,0.551762792
AT1G14687,ZF-HD,HB32,12176,0.440282047
AT1G75240,ZF-HD,HB33,13403,0.484650154
AT3G28920,ZF-HD,HB34,14118,0.51050443
AT5G63260,ZF-HD,,11158,0.403471343
AT1G18330,,"EPR1, RVE7",18086,0.653986621
AT4G15090,,FAR1,748,0.02704755
AT4G38170,,FRS9,6164,0.22288917
AT4G00250,,GeBP,9162,0.33129633
AT3G12130,,KHZ1,9636,0.348436088
AT5G23930,,MTERF34,4466,0.161489785
AT5G47390,,"MYBH, KUODA1",12035,0.435183511
AT1G74480,,"RKD2, URP4",7686,0.277924426
AT5G02840,,"RVE4, LCL1",4715,0.170493582
AT5G67580,,"TRB2, TBP3",5446,0.196926415
AT3G46590,,"TRFL1, TRP2",1512,0.054673658
AT5G59430,,TRP1,563,0.020357982
AT5G05550,,VFP5,8898,0.321750136
AT5G52660,,RVE6,11443,0.413776894
AT3G09735,,,6577,0.237823178
AT3G10030,,,2174,0.078611463
AT3G11280,,,1813,0.065557765
AT3G42860,,,2167,0.078358344
